name	path	category	risk	executable	description
winky_system_monitor_agent.sh	/home/schattenmacher/openclaw_training/scripts/winky_system_monitor_agent.sh	core_status,memory_docs,mission_control,agent_runtime,security,discord_telegram,rag_lora_llm,high_review	high-review	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
shadowmaker_daily_brief.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_daily_brief.sh	core_status,memory_docs,mission_control,ihk_mfp,discord_telegram,rag_lora_llm,freeze_backup,high_review	high-review	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
shadowmaker_daily_brief.sh.bak.20260502_011954	/home/schattenmacher/openclaw_training/scripts/shadowmaker_daily_brief.sh.bak.20260502_011954	core_status,memory_docs,mission_control,ihk_mfp,discord_telegram,rag_lora_llm,freeze_backup,high_review	high-review	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
install_tina_huang_prompt_style_local_ai_allinone_20260502_122327.txt	/home/schattenmacher/openclaw_training/reports/install_tina_huang_prompt_style_local_ai_allinone_20260502_122327.txt	core_status,memory_docs,mission_control,mail_courier,prompt_code,discord_telegram,rag_lora_llm,freeze_backup,setup_install,high_review	high-review	no	============================================================ / INSTALL TINA HUANG PROMPT STYLE FOR LOCAL AI
check_security_audit_timer_phase2.sh	/home/schattenmacher/openclaw_training/scripts/check_security_audit_timer_phase2.sh	core_status,memory_docs,mission_control,security,discord_telegram,rag_lora_llm,high_review	high-review	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
setup_security_audit_discord_timer_allinone_20260502_063352.txt	/home/schattenmacher/openclaw_training/reports/setup_security_audit_discord_timer_allinone_20260502_063352.txt	core_status,memory_docs,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,setup_install,high_review	high-review	no	============================================================ / SETUP SECURITY AUDIT DISCORD TIMER ALL-IN-ONE
ingest_paste.py	/home/schattenmacher/openclaw_training/scripts/ingest_paste.py	career,security,rag_lora_llm,freeze_backup	low	no	import json, re / from pathlib import Path
test_hermes_agent.sh	/home/schattenmacher/openclaw_training/test_hermes_agent.sh	core_status,agent_runtime,ihk_mfp,rag_lora_llm	low	yes	"set -Eeuo pipefail / cd ""$HOME/openclaw_training"""
hermes_agent.py	/home/schattenmacher/openclaw_training/src/hermes_agent.py	core_status,memory_docs,agent_runtime,ihk_mfp,prompt_code,discord_telegram,rag_lora_llm	low	yes	import json / import os
shadowmaker_freeze_report_to_discord.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_freeze_report_to_discord.sh	core_status,memory_docs,discord_telegram,rag_lora_llm,freeze_backup	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
patch_crashbandicot_openclaw_internal_check_20260501_234423.txt	/home/schattenmacher/openclaw_training/reports/patch_crashbandicot_openclaw_internal_check_20260501_234423.txt	core_status,memory_docs,discord_telegram,rag_lora_llm,freeze_backup,repair_patch	low	no	============================================================ / PATCH CRASHBANDICOT OPENCLAW INTERNAL CHECK
setup_discord_shadowmaker_wizard_20260502_001801.txt	/home/schattenmacher/openclaw_training/reports/setup_discord_shadowmaker_wizard_20260502_001801.txt	core_status,memory_docs,discord_telegram,rag_lora_llm,setup_install	low	no	============================================================ / DISCORD SHADOWMAKER WIZARD
setup_shadowmaker_bots_telegram_discord_20260501_232148.txt	/home/schattenmacher/openclaw_training/reports/setup_shadowmaker_bots_telegram_discord_20260501_232148.txt	core_status,memory_docs,discord_telegram,rag_lora_llm,setup_install	low	no	============================================================ / SHADOWMAKER BOTS TELEGRAM + DISCORD SETUP
05_score_holdout.py	/home/schattenmacher/openclaw_training/pipeline/05_score_holdout.py	core_status,memory_docs,ihk_mfp,prompt_code,discord_telegram,rag_lora_llm	low	no	""""""" / 05_score_holdout.py"
rag_query_router.py	/home/schattenmacher/openclaw_training/src/rag_query_router.py	core_status,memory_docs,ihk_mfp,prompt_code,rag_lora_llm	low	yes	from pathlib import Path / import re
train_mfp_lora.py	/home/schattenmacher/openclaw_training/src/train_mfp_lora.py	core_status,memory_docs,ihk_mfp,prompt_code,rag_lora_llm	low	yes	import json / import os
build_final_training.py	/home/schattenmacher/openclaw_training/build_final_training.py	core_status,memory_docs,ihk_mfp,prompt_code,security,rag_lora_llm,freeze_backup	low	yes	import json / import hashlib
pruefungssimulator.py	/home/schattenmacher/openclaw_training/src/pruefungssimulator.py	core_status,memory_docs,ihk_mfp,prompt_code,security,rag_lora_llm,freeze_backup	low	yes	""""""" / OPENCLAW PRÜFUNGSSIMULATOR"
run_pipeline.sh	/home/schattenmacher/openclaw_training/pipeline/run_pipeline.sh	core_status,memory_docs,ihk_mfp,rag_lora_llm,setup_install	low	yes	# run_pipeline.sh / # Vollständige IHK-Trainingspipeline: Daten → Training → Holdout → Scoring
phase5_crew_status.sh	/home/schattenmacher/openclaw_training/scripts/phase5_crew_status.sh	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,finance_housing,prompt_code,rag_lora_llm	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
repair_mission_control_phase4_webui_allinone_20260502_072136.txt	/home/schattenmacher/openclaw_training/reports/repair_mission_control_phase4_webui_allinone_20260502_072136.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install	low	no	============================================================ / REPAIR MISSION CONTROL PHASE 4 WEBUI
repair_phase4_webui_final_safe_20260502_072307.txt	/home/schattenmacher/openclaw_training/reports/repair_phase4_webui_final_safe_20260502_072307.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install	low	no	============================================================ / REPAIR PHASE 4 WEBUI FINAL SAFE
setup_mission_control_phase4_webui_allinone_20260502_071917.txt	/home/schattenmacher/openclaw_training/reports/setup_mission_control_phase4_webui_allinone_20260502_071917.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install	low	no	============================================================ / SETUP MISSION CONTROL PHASE 4 WEBUI + WORKSPACE AUDIT
audit_all_drives_data_inventory_allinone_20260502_131446.txt	/home/schattenmacher/openclaw_training/reports/audit_all_drives_data_inventory_allinone_20260502_131446.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,prompt_code,security,rag_lora_llm,freeze_backup,repair_patch	low	no	============================================================ / ALL DRIVES DATA INVENTORY – READ ONLY
repair_courier_aliases_and_runner_allinone_20260502_095123.txt	/home/schattenmacher/openclaw_training/reports/repair_courier_aliases_and_runner_allinone_20260502_095123.txt	core_status,memory_docs,mission_control,agent_runtime,mail_courier,discord_telegram,rag_lora_llm,repair_patch,setup_install	low	no	============================================================ / REPAIR COURIER ALIASES + RUNNER
repair_courier_proton_starttls_selfsigned_allinone_20260502_095804.txt	/home/schattenmacher/openclaw_training/reports/repair_courier_proton_starttls_selfsigned_allinone_20260502_095804.txt	core_status,memory_docs,mission_control,agent_runtime,mail_courier,ihk_mfp,career,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install	low	no	============================================================ / REPAIR COURIER PROTON STARTTLS SELF-SIGNED
repair_courier_proton_starttls_selfsigned_allinone_20260502_095851.txt	/home/schattenmacher/openclaw_training/reports/repair_courier_proton_starttls_selfsigned_allinone_20260502_095851.txt	core_status,memory_docs,mission_control,agent_runtime,mail_courier,ihk_mfp,career,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install	low	no	============================================================ / REPAIR COURIER PROTON STARTTLS SELF-SIGNED
courier_status.sh	/home/schattenmacher/openclaw_training/scripts/courier_status.sh	core_status,memory_docs,mission_control,agent_runtime,mail_courier,rag_lora_llm	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
setup_mission_control_phase2_allinone_20260502_064713.txt	/home/schattenmacher/openclaw_training/reports/setup_mission_control_phase2_allinone_20260502_064713.txt	core_status,memory_docs,mission_control,agent_runtime,security,rag_lora_llm,setup_install	low	no	============================================================ / SETUP MISSION CONTROL PHASE 2 ALL-IN-ONE
fix_daily_brief_today_variable_20260502_011954.txt	/home/schattenmacher/openclaw_training/reports/fix_daily_brief_today_variable_20260502_011954.txt	core_status,memory_docs,mission_control,ihk_mfp,discord_telegram,rag_lora_llm,freeze_backup,repair_patch	low	no	============================================================ / FIX DAILY BRIEF TODAY VARIABLE
check_security_audit_timer_phase2_20260502_065313.txt	/home/schattenmacher/openclaw_training/reports/check_security_audit_timer_phase2_20260502_065313.txt	core_status,memory_docs,mission_control,prompt_code,security,discord_telegram,rag_lora_llm,setup_install	low	no	# Security Audit Timer Check / Stand: Sa 2. Mai 06:53:13 CEST 2026
check_security_audit_timer_phase2_20260502_065330.txt	/home/schattenmacher/openclaw_training/reports/check_security_audit_timer_phase2_20260502_065330.txt	core_status,memory_docs,mission_control,prompt_code,security,discord_telegram,rag_lora_llm,setup_install	low	no	# Security Audit Timer Check / Stand: Sa 2. Mai 06:53:30 CEST 2026
memory_wiki_status.sh	/home/schattenmacher/openclaw_training/scripts/memory_wiki_status.sh	core_status,memory_docs,mission_control,rag_lora_llm	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
discord_channel_routing_test.sh	/home/schattenmacher/openclaw_training/scripts/discord_channel_routing_test.sh	core_status,memory_docs,mission_control,security,discord_telegram,rag_lora_llm,freeze_backup	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
check_security_audit_timer_phase2_20260502_064713.txt	/home/schattenmacher/openclaw_training/reports/check_security_audit_timer_phase2_20260502_064713.txt	core_status,memory_docs,mission_control,security,rag_lora_llm	low	no	/home/schattenmacher/openclaw_training/scripts/check_security_audit_timer_phase2.sh: Zeile 26: text: Befehl nicht gefund / /home/schattenmacher/openclaw_training/scripts/check_security_audit_timer_phase2.sh: Zeile 27: Service:: Befehl nicht ge
repair_shadowmaker_control_bot_20260501_233353.txt	/home/schattenmacher/openclaw_training/reports/repair_shadowmaker_control_bot_20260501_233353.txt	core_status,memory_docs,prompt_code,discord_telegram,rag_lora_llm,freeze_backup,repair_patch	low	no	============================================================ / REPAIR SHADOWMAKER CONTROL BOT
run_security_audit_discord_timer.sh	/home/schattenmacher/openclaw_training/scripts/run_security_audit_discord_timer.sh	core_status,memory_docs,security,discord_telegram,rag_lora_llm	low	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
shadowmaker_daily_brief_to_discord.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_daily_brief_to_discord.sh	core_status,mission_control,discord_telegram,rag_lora_llm,freeze_backup	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
mission_control_webui_status.sh	/home/schattenmacher/openclaw_training/scripts/mission_control_webui_status.sh	core_status,mission_control,rag_lora_llm,setup_install	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
discord_send.sh	/home/schattenmacher/openclaw_training/scripts/discord_send.sh	discord_telegram,rag_lora_llm	low	yes	"set -Eeuo pipefail / ENV_FILE=""$HOME/shadowmaker_bots/.env"""
04_run_holdout_inference.py	/home/schattenmacher/openclaw_training/pipeline/04_run_holdout_inference.py	ihk_mfp,prompt_code,rag_lora_llm	low	no	""""""" / 04_run_holdout_inference.py"
merge_lora.py	/home/schattenmacher/openclaw_training/pipeline/merge_lora.py	ihk_mfp,prompt_code,rag_lora_llm	low	no	""""""" / merge_lora.py  (optional, vor Inference ausführen)"
01_convert_to_jsonl.py	/home/schattenmacher/openclaw_training/pipeline/01_convert_to_jsonl.py	ihk_mfp,prompt_code,rag_lora_llm,repair_patch	low	no	""""""" / 01_convert_to_jsonl.py"
harvest_pdfs.py	/home/schattenmacher/openclaw_training/scripts/harvest_pdfs.py	ihk_mfp,rag_lora_llm	low	no	import re, json, sys / from pathlib import Path
repair_mnemosyne_today_var_allinone_20260502_073901.txt	/home/schattenmacher/openclaw_training/reports/repair_mnemosyne_today_var_allinone_20260502_073901.txt	memory_docs,agent_runtime,rag_lora_llm,freeze_backup,repair_patch	low	no	============================================================ / REPAIR MNEMOSYNE TODAY VARIABLE
repair_bashrc_after_bad_paste_20260502_055410.txt	/home/schattenmacher/openclaw_training/reports/repair_bashrc_after_bad_paste_20260502_055410.txt	memory_docs,discord_telegram,rag_lora_llm,freeze_backup,repair_patch	low	no	============================================================ / REPAIR BASHRC AFTER BAD PASTE
repair_discord_scripts_from_existing_env_20260502_005527.txt	/home/schattenmacher/openclaw_training/reports/repair_discord_scripts_from_existing_env_20260502_005527.txt	memory_docs,discord_telegram,rag_lora_llm,repair_patch	low	no	============================================================ / REPAIR DISCORD SCRIPTS FROM EXISTING ENV
repair_discord_scripts_from_existing_env_20260502_005650.txt	/home/schattenmacher/openclaw_training/reports/repair_discord_scripts_from_existing_env_20260502_005650.txt	memory_docs,discord_telegram,rag_lora_llm,repair_patch	low	no	============================================================ / REPAIR DISCORD SCRIPTS FROM EXISTING ENV
03_train_lora.py	/home/schattenmacher/openclaw_training/pipeline/03_train_lora.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm	low	no	""""""" / 03_train_lora.py"
triage_task_types.py	/home/schattenmacher/openclaw_training/triage_task_types.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm	low	yes	import json / from pathlib import Path
local_exam_ai_test.py	/home/schattenmacher/openclaw_training/src/local_exam_ai_test.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm,freeze_backup,repair_patch	low	yes	import json / import re
test_mfp_lora_adapter.py	/home/schattenmacher/openclaw_training/src/test_mfp_lora_adapter.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm,freeze_backup,repair_patch	low	yes	import json / import os
autonomous_silver_workflow_v2.py	/home/schattenmacher/openclaw_training/src/autonomous_silver_workflow_v2.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm,freeze_backup,setup_install	low	yes	import json / import re
autonomous_silver_workflow.py	/home/schattenmacher/openclaw_training/src/autonomous_silver_workflow.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm,setup_install	low	yes	import json / import re
generate_silver_from_bronze.py	/home/schattenmacher/openclaw_training/src/generate_silver_from_bronze.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm,setup_install	low	yes	import json / import re
generate_silver_ollama.py	/home/schattenmacher/openclaw_training/src/generate_silver_ollama.py	memory_docs,ihk_mfp,prompt_code,rag_lora_llm,setup_install	low	yes	import json / import re
02_split_train_holdout.py	/home/schattenmacher/openclaw_training/pipeline/02_split_train_holdout.py	memory_docs,ihk_mfp,rag_lora_llm	low	no	""""""" / 02_split_train_holdout.py"
final_scorer_test.py	/home/schattenmacher/openclaw_training/src/final_scorer_test.py	memory_docs,ihk_mfp,rag_lora_llm	low	yes	import json / import re
prepare_final_dataset_split.sh	/home/schattenmacher/openclaw_training/prepare_final_dataset_split.sh	memory_docs,ihk_mfp,rag_lora_llm	low	no	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training/artifacts/ihk_mfp_quality"""
setup_phase5_mentor_ihk_agent_allinone_20260502_074547.txt	/home/schattenmacher/openclaw_training/reports/setup_phase5_mentor_ihk_agent_allinone_20260502_074547.txt	memory_docs,mission_control,agent_runtime,ihk_mfp,rag_lora_llm,setup_install	low	no	============================================================ / SETUP PHASE 5 MENTOR IHK/MFP AGENT
courier_mail_briefing_run.sh	/home/schattenmacher/openclaw_training/scripts/courier_mail_briefing_run.sh	memory_docs,mission_control,agent_runtime,mail_courier,discord_telegram,rag_lora_llm	low	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
repair_bashrc_tina_aliases_20260502_000002.txt	/home/schattenmacher/openclaw_training/reports/repair_bashrc_tina_aliases_20260502_000002.txt	memory_docs,mission_control,agent_runtime,prompt_code,rag_lora_llm,freeze_backup,repair_patch	low	no	============================================================ / REPAIR BASHRC TINA ALIASES
fix_gmail_oauth_testuser_and_retry_allinone_20260502_104545.txt	/home/schattenmacher/openclaw_training/reports/fix_gmail_oauth_testuser_and_retry_allinone_20260502_104545.txt	memory_docs,mission_control,mail_courier,prompt_code,rag_lora_llm,repair_patch	low	no	============================================================ / FIX GMAIL OAUTH TEST USER + RETRY
setup_shadowmaker_discord_channels_wizard_20260502_054114.txt	/home/schattenmacher/openclaw_training/reports/setup_shadowmaker_discord_channels_wizard_20260502_054114.txt	memory_docs,mission_control,prompt_code,discord_telegram,rag_lora_llm,setup_install	low	no	============================================================ / SHADOWMAKER DISCORD CHANNEL WIZARD
mission_control_webui_install.sh	/home/schattenmacher/openclaw_training/scripts/mission_control_webui_install.sh	memory_docs,mission_control,rag_lora_llm,setup_install	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
mission_control_webui_start.sh	/home/schattenmacher/openclaw_training/scripts/mission_control_webui_start.sh	memory_docs,mission_control,rag_lora_llm,setup_install	low	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
derive_tasks.py	/home/schattenmacher/openclaw_training/scripts/derive_tasks.py	memory_docs,prompt_code,rag_lora_llm	low	no	import json / from pathlib import Path
batch_import.py	/home/schattenmacher/openclaw_training/scripts/batch_import.py	memory_docs,prompt_code,rag_lora_llm,setup_install	low	no	import json, hashlib / from pathlib import Path
ingest_inventory.py	/home/schattenmacher/openclaw_training/src/ingest_inventory.py	memory_docs,prompt_code,security,rag_lora_llm	low	no	import json / from pathlib import Path
extract_text.py	/home/schattenmacher/openclaw_training/src/extract_text.py	memory_docs,security,rag_lora_llm,repair_patch	low	no	import pdfplumber / import docx
discord_send_channel.sh	/home/schattenmacher/openclaw_training/scripts/discord_send_channel.sh	mission_control,prompt_code,discord_telegram,rag_lora_llm	low	yes	"set -Eeuo pipefail / CHANNEL_ENV=""$HOME/openclaw_training/mission_control/discord/discord_channels.env"""
patch_router.py	/home/schattenmacher/openclaw_training/scripts/patch_router.py	prompt_code,rag_lora_llm,freeze_backup,repair_patch	low	no	"from pathlib import Path / ROUTER = Path.home() / ""openclaw_training"" / ""src"" / ""rag_query_router.py"""
quality_gate.py	/home/schattenmacher/openclaw_training/scripts/quality_gate.py	rag_lora_llm	low	no	import sys / from pathlib import Path
openclaw_operating_loop.sh	/home/schattenmacher/openclaw_training/scripts/openclaw_operating_loop.sh	core_status,agent_runtime,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / echo ""============================================================"""
shadowmaker_stack_healthcheck.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_stack_healthcheck.sh	core_status,agent_runtime,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / echo ""============================================================"""
shadowmaker_stack_status.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_stack_status.sh	core_status,agent_runtime,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / echo ""== SHADOWMAKER STACK STATUS =="""
openclaw_status_to_discord.sh	/home/schattenmacher/openclaw_training/scripts/openclaw_status_to_discord.sh	core_status,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
shadowmaker_stack_stop_controlbot_only.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_stack_stop_controlbot_only.sh	core_status,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / echo ""== STOP CONTROL BOT ONLY =="""
repair_crashbandicot_full_rewrite_20260501_234619.txt	/home/schattenmacher/openclaw_training/reports/repair_crashbandicot_full_rewrite_20260501_234619.txt	core_status,memory_docs,agent_runtime,career,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch	medium	no	============================================================ / REPAIR CRASHBANDICOT FULL REWRITE
discord_stack_report.sh	/home/schattenmacher/openclaw_training/scripts/discord_stack_report.sh	core_status,memory_docs,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / ENV_FILE=""$HOME/shadowmaker_bots/.env"""
repair_local_inventory_aliases_and_status_20260502_064118.txt	/home/schattenmacher/openclaw_training/reports/repair_local_inventory_aliases_and_status_20260502_064118.txt	core_status,memory_docs,ihk_mfp,career,finance_housing,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install	medium	no	============================================================ / REPAIR LOCAL INVENTORY ALIASES + STATUS
autonomous_mfp_training_workflow.py	/home/schattenmacher/openclaw_training/src/autonomous_mfp_training_workflow.py	core_status,memory_docs,ihk_mfp,prompt_code,rag_lora_llm,freeze_backup,repair_patch,setup_install	medium	yes	import json / import os
career_agent_template.sh	/home/schattenmacher/openclaw_training/scripts/career_agent_template.sh	core_status,memory_docs,mission_control,agent_runtime,career,prompt_code,discord_telegram,rag_lora_llm,setup_install	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
